year,city_avg_temp,global_avg_temp
1841,13.09,7.69
1842,12.96,8.02
1843,13.34,8.17
1844,12.60,7.65
1845,13.16,7.85
1846,13.43,8.55
1847,13.03,8.09
1848,12.58,7.98
1849,12.30,7.98
1850,12.99,7.90
1851,12.97,8.18
1852,12.72,8.10
1853,12.51,8.04
1854,12.84,8.21
1855,11.43,8.11
1856,13.40,8.00
1857,13.44,7.76
1858,13.60,8.10
1859,13.17,8.25
1860,13.29,7.96
1861,13.18,7.85
1862,13.50,7.56
1863,12.96,8.11
1864,13.01,7.98
1865,12.78,8.18
1866,13.36,8.29
1867,13.37,8.44
1868,13.31,8.25
1869,13.18,8.43
1870,13.30,8.20
1871,13.50,8.12
1872,13.40,8.19
1873,13.47,8.35
1874,12.96,8.43
1875,13.09,7.86
1876,13.22,8.08
1877,13.10,8.54
1878,13.34,8.83
1879,13.02,8.17
1880,13.40,8.12
1881,13.10,8.27
1882,13.34,8.13
1883,13.42,7.98
1884,12.87,7.77
1885,13.01,7.92
1886,13.03,7.95
1887,13.47,7.91
1888,13.36,8.09
1889,13.54,8.32
1890,13.60,7.97
1891,13.11,8.02
1892,12.93,8.07
1893,13.23,8.06
1894,13.49,8.16
1895,13.53,8.15
1896,13.19,8.21
1897,13.11,8.29
1898,13.97,8.18
1899,13.24,8.40
1900,12.98,8.50
1901,13.33,8.54
1902,13.35,8.30
1903,13.18,8.22
1904,13.19,8.09
1905,12.74,8.23
1906,13.41,8.38
1907,13.10,7.95
1908,13.51,8.19
1909,12.62,8.18
1910,13.47,8.22
1911,13.13,8.18
1912,13.16,8.17
1913,13.12,8.30
1914,14.13,8.59
1915,13.13,8.59
1916,13.02,8.23
1917,13.00,8.02
1918,13.44,8.13
1919,13.87,8.38
1920,13.25,8.36
1921,13.96,8.57
1922,13.34,8.41
1923,13.21,8.42
1924,12.51,8.51
1925,13.02,8.53
1926,13.48,8.73
1927,13.18,8.52
1928,13.45,8.63
1929,12.62,8.24
1930,13.61,8.63
1931,12.73,8.72
1932,12.89,8.71
1933,13.06,8.34
1934,13.59,8.63
1935,13.02,8.52
1936,13.26,8.55
1937,13.45,8.70
1938,13.76,8.86
1939,13.41,8.76
1940,13.36,8.76
1941,13.16,8.77
1942,13.69,8.73
1943,12.68,8.76
1944,13.05,8.85
1945,13.00,8.58
1946,12.63,8.68
1947,13.47,8.80
1948,12.81,8.75
1949,12.42,8.59
1950,13.42,8.37
1951,13.56,8.63
1952,12.94,8.64
1953,13.31,8.87
1954,13.32,8.56
1955,13.24,8.63
1956,13.06,8.28
1957,13.05,8.73
1958,12.99,8.77
1959,13.79,8.73
1960,13.17,8.58
1961,14.33,8.80
1962,13.55,8.75
1963,13.51,8.86
1964,12.88,8.41
1965,13.32,8.53
1966,13.10,8.60
1967,13.52,8.70
1968,13.62,8.52
1969,13.39,8.60
1970,13.12,8.70
1971,13.58,8.60
1972,13.73,8.50
1973,13.69,8.95
1974,13.82,8.47
1975,13.90,8.74
1976,13.55,8.35
1977,13.50,8.85
1978,13.48,8.69
1979,13.90,8.73
1980,14.12,8.98
1981,14.26,9.17
1982,14.03,8.64
1983,13.72,9.03
1984,13.25,8.69
1985,13.70,8.66
1986,13.19,8.83
1987,13.47,8.99
1988,14.53,9.20
1989,13.86,8.92
1990,14.16,9.23
1991,13.77,9.18
1992,13.31,8.84
1993,13.81,8.87
1994,13.52,9.04
1995,13.14,9.35
1996,13.05,9.04
1997,13.93,9.20
1998,13.61,9.52
1999,14.20,9.29
2000,14.32,9.20
2001,14.18,9.41
2002,14.08,9.57
2003,13.99,9.53
2004,13.74,9.32
2005,14.38,9.70
2006,13.99,9.53
2007,14.99,9.73
2008,14.11,9.43
2009,14.65,9.51
2010,14.23,9.70
2011,14.19,9.52
2012,14.27,9.51
2013,14.74,9.61
